date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:13	255941/255941	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:13%20GMT	https://mimmostore.org/categoria/82142669	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142669.html	(from https://mimmostore.org/)
19:51:20	259534/259534	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:20%20GMT	https://mimmostore.org/categoria/82142956	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142956.html	(from https://mimmostore.org/)
19:51:26	215704/215704	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:26%20GMT	https://mimmostore.org/categoria/92881558	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/92881558.html	(from https://mimmostore.org/)
19:51:31	202793/202793	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:31%20GMT	https://mimmostore.org/categoria/82807309	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82807309.html	(from https://mimmostore.org/)
19:51:36	270819/270819	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:36%20GMT	https://mimmostore.org/categoria/82143006	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82143006.html	(from https://mimmostore.org/)
19:51:41	266112/266112	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:41%20GMT	https://mimmostore.org/categoria/82808321	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82808321.html	(from https://mimmostore.org/)
19:51:46	258918/258918	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:46%20GMT	https://mimmostore.org/categoria/92881557	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/92881557.html	(from https://mimmostore.org/)
19:51:52	264405/264405	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:51%20GMT	https://mimmostore.org/categoria/82142706	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142706.html	(from https://mimmostore.org/)
19:51:57	175326/175326	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:56%20GMT	https://mimmostore.org/categoria/82142925	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142925.html	(from https://mimmostore.org/)
19:52:01	201242/201242	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:01%20GMT	https://mimmostore.org/categoria/94076196	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/94076196.html	(from https://mimmostore.org/)
19:52:06	256062/256062	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:06%20GMT	https://mimmostore.org/categoria/82142689	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142689.html	(from https://mimmostore.org/)
19:52:11	193316/193316	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:11%20GMT	https://mimmostore.org/categoria/82156732	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82156732.html	(from https://mimmostore.org/)
19:52:16	193792/193792	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:16%20GMT	https://mimmostore.org/categoria/82715179	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82715179.html	(from https://mimmostore.org/)
19:52:21	185213/185213	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:21%20GMT	https://mimmostore.org/categoria/82156683	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82156683.html	(from https://mimmostore.org/)
19:52:26	187144/187144	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:26%20GMT	https://mimmostore.org/categoria/98620323	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/98620323.html	(from https://mimmostore.org/)
19:52:31	267499/267499	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:31%20GMT	https://mimmostore.org/categoria/92882901	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/92882901.html	(from https://mimmostore.org/)
19:52:37	181872/181872	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:37%20GMT	https://mimmostore.org/categoria/94078270	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/94078270.html	(from https://mimmostore.org/)
19:52:45	195950/195950	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:45%20GMT	https://mimmostore.org/categoria/94078248	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/94078248.html	(from https://mimmostore.org/)
19:52:52	174628/174628	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:52%20GMT	https://mimmostore.org/categoria/94078254	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/94078254.html	(from https://mimmostore.org/)
19:52:56	189585/189585	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:52:56%20GMT	https://mimmostore.org/categoria/94078264	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/94078264.html	(from https://mimmostore.org/)
19:53:04	198442/198442	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:04%20GMT	https://mimmostore.org/categoria/82807792	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82807792.html	(from https://mimmostore.org/)
19:53:12	186602/186602	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:11%20GMT	https://mimmostore.org/categoria/82127012	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82127012.html	(from https://mimmostore.org/)
19:53:20	186250/186250	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:19%20GMT	https://mimmostore.org/categoria/97232887	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/97232887.html	(from https://mimmostore.org/)
19:53:28	157863/157863	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:26%20GMT	https://mimmostore.org/categoria/82807898	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82807898.html	(from https://mimmostore.org/)
19:53:32	266711/266711	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:32%20GMT	https://mimmostore.org/categoria/82142985	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142985.html	(from https://mimmostore.org/)
19:53:36	160987/160987	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:36%20GMT	https://mimmostore.org/categoria/82807715	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82807715.html	(from https://mimmostore.org/)
19:53:41	195444/195444	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:41%20GMT	https://mimmostore.org/categoria/82072877	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82072877.html	(from https://mimmostore.org/)
19:53:46	195042/195042	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:46%20GMT	https://mimmostore.org/categoria/82157072	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82157072.html	(from https://mimmostore.org/)
19:53:51	197404/197404	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:51%20GMT	https://mimmostore.org/categoria/82072914	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82072914.html	(from https://mimmostore.org/)
19:53:56	195759/195759	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:53:56%20GMT	https://mimmostore.org/categoria/92879633	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/92879633.html	(from https://mimmostore.org/)
19:54:03	196348/196348	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:54:03%20GMT	https://mimmostore.org/categoria/82072896	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82072896.html	(from https://mimmostore.org/)
19:54:08	194601/194601	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:54:08%20GMT	https://mimmostore.org/categoria/82143599	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82143599.html	(from https://mimmostore.org/)
19:54:15	188548/188548	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:54:15%20GMT	https://mimmostore.org/categoria/92879632	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/92879632.html	(from https://mimmostore.org/)
19:54:20	195127/195127	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:54:20%20GMT	https://mimmostore.org/categoria/82072943	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82072943.html	(from https://mimmostore.org/)
19:54:24	215007/215007	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:54:25%20GMT	https://mimmostore.org/categoria/82072923	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82072923.html	(from https://mimmostore.org/)
19:54:29	194554/194554	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:54:29%20GMT	https://mimmostore.org/categoria/82072947	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82072947.html	(from https://mimmostore.org/)
